name	path	emotion
h17 (5).wav	data\aesdd\happiness\h17 (5).wav	happiness
a05 (3).wav	data\aesdd\anger\a05 (3).wav	anger
d11 (1).wav	data\aesdd\disgust\d11 (1).wav	disgust
s07 (1).wav	data\aesdd\sadness\s07 (1).wav	sadness
s18 (2).wav	data\aesdd\sadness\s18 (2).wav	sadness
s09 (5).wav	data\aesdd\sadness\s09 (5).wav	sadness
f05 (5).wav	data\aesdd\fear\f05 (5).wav	fear
f03 (4).wav	data\aesdd\fear\f03 (4).wav	fear
d10 (4).wav	data\aesdd\disgust\d10 (4).wav	disgust
h15 (2).wav	data\aesdd\happiness\h15 (2).wav	happiness
d02 (1).wav	data\aesdd\disgust\d02 (1).wav	disgust
a20 (3).wav	data\aesdd\anger\a20 (3).wav	anger
d13 (4).wav	data\aesdd\disgust\d13 (4).wav	disgust
s13 (2).wav	data\aesdd\sadness\s13 (2).wav	sadness
a02 (4).wav	data\aesdd\anger\a02 (4).wav	anger
f11 (3).wav	data\aesdd\fear\f11 (3).wav	fear
h08 (3).wav	data\aesdd\happiness\h08 (3).wav	happiness
h12 (3).wav	data\aesdd\happiness\h12 (3).wav	happiness
h13 (1).wav	data\aesdd\happiness\h13 (1).wav	happiness
s14 (3).wav	data\aesdd\sadness\s14 (3).wav	sadness
f08 (6).wav	data\aesdd\fear\f08 (6).wav	fear
h02 (2).wav	data\aesdd\happiness\h02 (2).wav	happiness
f01 (2).wav	data\aesdd\fear\f01 (2).wav	fear
d04 (5).wav	data\aesdd\disgust\d04 (5).wav	disgust
a07 (4).wav	data\aesdd\anger\a07 (4).wav	anger
s13 (4).wav	data\aesdd\sadness\s13 (4).wav	sadness
h01 (6).wav	data\aesdd\happiness\h01 (6).wav	happiness
a13 (1).wav	data\aesdd\anger\a13 (1).wav	anger
f11 (5).wav	data\aesdd\fear\f11 (5).wav	fear
a07 (1).wav	data\aesdd\anger\a07 (1).wav	anger
h18 (3).wav	data\aesdd\happiness\h18 (3).wav	happiness
h20 (6).wav	data\aesdd\happiness\h20 (6).wav	happiness
a08 (5).wav	data\aesdd\anger\a08 (5).wav	anger
h11 (6).wav	data\aesdd\happiness\h11 (6).wav	happiness
f15 (6).wav	data\aesdd\fear\f15 (6).wav	fear
h18 (2).wav	data\aesdd\happiness\h18 (2).wav	happiness
f20 (5).wav	data\aesdd\fear\f20 (5).wav	fear
h10 (6).wav	data\aesdd\happiness\h10 (6).wav	happiness
a05 (6).wav	data\aesdd\anger\a05 (6).wav	anger
a10 (3).wav	data\aesdd\anger\a10 (3).wav	anger
s18 (3).wav	data\aesdd\sadness\s18 (3).wav	sadness
a14 (6).wav	data\aesdd\anger\a14 (6).wav	anger
h20 (3).wav	data\aesdd\happiness\h20 (3).wav	happiness
a04 (6).wav	data\aesdd\anger\a04 (6).wav	anger
d14 (1).wav	data\aesdd\disgust\d14 (1).wav	disgust
a11 (4).wav	data\aesdd\anger\a11 (4).wav	anger
h17 (6).wav	data\aesdd\happiness\h17 (6).wav	happiness
d19 (6).wav	data\aesdd\disgust\d19 (6).wav	disgust
d17 (6).wav	data\aesdd\disgust\d17 (6).wav	disgust
h14 (6).wav	data\aesdd\happiness\h14 (6).wav	happiness
d06 (5).wav	data\aesdd\disgust\d06 (5).wav	disgust
s20 (3).wav	data\aesdd\sadness\s20 (3).wav	sadness
a12 (4).wav	data\aesdd\anger\a12 (4).wav	anger
h07 (2).wav	data\aesdd\happiness\h07 (2).wav	happiness
s17 (1).wav	data\aesdd\sadness\s17 (1).wav	sadness
h13 (6).wav	data\aesdd\happiness\h13 (6).wav	happiness
d17 (4).wav	data\aesdd\disgust\d17 (4).wav	disgust
f03 (1).wav	data\aesdd\fear\f03 (1).wav	fear
h04 (1).wav	data\aesdd\happiness\h04 (1).wav	happiness
h16 (2).wav	data\aesdd\happiness\h16 (2).wav	happiness
h01 (1).wav	data\aesdd\happiness\h01 (1).wav	happiness
f13 (01).wav	data\aesdd\fear\f13 (01).wav	fear
d06 (6).wav	data\aesdd\disgust\d06 (6).wav	disgust
h05 (5).wav	data\aesdd\happiness\h05 (5).wav	happiness
d09 (2).wav	data\aesdd\disgust\d09 (2).wav	disgust
s06 (1).wav	data\aesdd\sadness\s06 (1).wav	sadness
h07 (5).wav	data\aesdd\happiness\h07 (5).wav	happiness
d18 (2).wav	data\aesdd\disgust\d18 (2).wav	disgust
d16 (3).wav	data\aesdd\disgust\d16 (3).wav	disgust
f02 (2).wav	data\aesdd\fear\f02 (2).wav	fear
a03 (2).wav	data\aesdd\anger\a03 (2).wav	anger
d02 (5).wav	data\aesdd\disgust\d02 (5).wav	disgust
s19 (4).wav	data\aesdd\sadness\s19 (4).wav	sadness
a12 (1).wav	data\aesdd\anger\a12 (1).wav	anger
a14 (1).wav	data\aesdd\anger\a14 (1).wav	anger
a18 (1).wav	data\aesdd\anger\a18 (1).wav	anger
a01 (2).wav	data\aesdd\anger\a01 (2).wav	anger
d03 (2).wav	data\aesdd\disgust\d03 (2).wav	disgust
a01 (5).wav	data\aesdd\anger\a01 (5).wav	anger
s17 (3).wav	data\aesdd\sadness\s17 (3).wav	sadness
d07 (4).wav	data\aesdd\disgust\d07 (4).wav	disgust
a14 (5).wav	data\aesdd\anger\a14 (5).wav	anger
a08 (2).wav	data\aesdd\anger\a08 (2).wav	anger
f09 (3).wav	data\aesdd\fear\f09 (3).wav	fear
s10 (3).wav	data\aesdd\sadness\s10 (3).wav	sadness
s08 (5).wav	data\aesdd\sadness\s08 (5).wav	sadness
s16 (6).wav	data\aesdd\sadness\s16 (6).wav	sadness
s15 (4).wav	data\aesdd\sadness\s15 (4).wav	sadness
f12 (3).wav	data\aesdd\fear\f12 (3).wav	fear
s14 (4).wav	data\aesdd\sadness\s14 (4).wav	sadness
s06 (6).wav	data\aesdd\sadness\s06 (6).wav	sadness
s15 (1).wav	data\aesdd\sadness\s15 (1).wav	sadness
d09 (3).wav	data\aesdd\disgust\d09 (3).wav	disgust
d03 (3).wav	data\aesdd\disgust\d03 (3).wav	disgust
d13 (1).wav	data\aesdd\disgust\d13 (1).wav	disgust
h18 (5).wav	data\aesdd\happiness\h18 (5).wav	happiness
h04 (2).wav	data\aesdd\happiness\h04 (2).wav	happiness
h07 (3).wav	data\aesdd\happiness\h07 (3).wav	happiness
a04 (2).wav	data\aesdd\anger\a04 (2).wav	anger
s07 (2).wav	data\aesdd\sadness\s07 (2).wav	sadness
a09 (5).wav	data\aesdd\anger\a09 (5).wav	anger
f09 (6).wav	data\aesdd\fear\f09 (6).wav	fear
d16 (5).wav	data\aesdd\disgust\d16 (5).wav	disgust
s04 (4).wav	data\aesdd\sadness\s04 (4).wav	sadness
h12 (6).wav	data\aesdd\happiness\h12 (6).wav	happiness
d15 (2).wav	data\aesdd\disgust\d15 (2).wav	disgust
h05 (2).wav	data\aesdd\happiness\h05 (2).wav	happiness
a15 (6).wav	data\aesdd\anger\a15 (6).wav	anger
d16 (4).wav	data\aesdd\disgust\d16 (4).wav	disgust
s02 (1).wav	data\aesdd\sadness\s02 (1).wav	sadness
a11 (1).wav	data\aesdd\anger\a11 (1).wav	anger
f15 (4).wav	data\aesdd\fear\f15 (4).wav	fear
a09 (3).wav	data\aesdd\anger\a09 (3).wav	anger
d11 (2).wav	data\aesdd\disgust\d11 (2).wav	disgust
h06 (2).wav	data\aesdd\happiness\h06 (2).wav	happiness
